ProductionID,ProductionDate,Region,Manager,ProductType,UnitsProduced,Age,TotalCost,Gender
38,12/24/2023,North,Sarah Lee,Electronics,251,51,274870.35,Female
39,12/26/2023,North,Andrew Blue,Automobiles,316,22,361853.74,Male
40,9/14/2024,East,John Doe,Machinery,148,30,217427.1,Male
41,12/23/2023,North,John Doe,Automobiles,424,24,448429.74,Female
42,1/11/2024,West,Jane Smith,Machinery,401,31,1450434.78,Unknown
43,8/26/2024,South,Andrew Blue,Automobiles,416,49,1968196.11,Female
44,3/13/2024,South,Andrew Blue,Machinery,327,23,854524.93,Female
45,4/30/2024,West,Emily Davis,Furniture,356,46,694267.67,Unknown
46,2/10/2024,North,Nancy Grey,Electronics,237,44,954954.95,Unknown
47,11/14/2023,North,Nancy Grey,Electronics,467,58,2020043.01,Male
48,7/26/2024,South,Mike Brown,Furniture,93,57,104700.6,Female
49,12/31/2023,West,Nancy Grey,Machinery,450,43,1650119.56,Female
50,12/20/2023,East,Sarah Lee,Furniture,105,38,310231.72,Female
51,11/22/2023,West,Mike Brown,Electronics,489,29,2238671.75,Female
52,9/14/2024,West,Chris Green,Furniture,107,47,462201.69,Male
53,9/14/2023,East,Jane Smith,Automobiles,363,40,832050.28,Female
54,11/17/2023,West,John Doe,Machinery,302,46,560704.14,Female
55,9/9/2023,North,David White,Automobiles,270,60,1190525.4,Male
56,4/4/2024,West,Andrew Blue,Machinery,180,29,579223.06,Female
57,3/22/2024,East,John Doe,Machinery,408,56,1671290.08,Female
58,6/20/2024,West,Emily Davis,Machinery,438,60,1204095.03,Male
59,6/27/2024,West,Nancy Grey,Automobiles,452,55,1281682.21,Unknown
60,5/7/2024,West,John Doe,Furniture,175,34,820376.77,Female
61,2/14/2024,East,Emily Davis,Automobiles,222,48,363076.85,Female
62,10/7/2023,South,David White,Electronics,227,37,1025416.51,Unknown
63,8/28/2024,West,Laura Black,Furniture,57,32,178055.54,Male
64,5/4/2024,East,Laura Black,Automobiles,384,41,830398.42,Female
65,2/19/2024,East,Emily Davis,Electronics,219,48,902106.5,Unknown
66,1/18/2024,East,Mike Brown,Machinery,131,46,347873.35,Male
67,2/25/2024,North,David White,Machinery,222,22,868170.56,Female
68,11/5/2023,West,John Doe,Electronics,498,60,738683.15,Unknown
69,9/26/2023,North,Nancy Grey,Automobiles,293,36,1010249.68,Unknown
70,4/20/2024,West,Nancy Grey,Automobiles,66,51,134929.57,Female
71,7/21/2024,West,Nancy Grey,Electronics,231,37,697959.46,Unknown
72,10/22/2023,East,Emily Davis,Machinery,271,41,1123947.17,Male
73,12/24/2023,North,Laura Black,Machinery,358,29,1435814.51,Female
74,9/27/2023,East,Chris Green,Furniture,443,29,1316120.14,Male
75,1/10/2024,West,Laura Black,Electronics,136,30,455157.57,Female
76,9/16/2023,West,John Doe,Automobiles,461,37,1781212.67,Male
77,6/24/2024,South,John Doe,Electronics,385,27,965880.69,Male
78,9/26/2023,West,Emily Davis,Automobiles,403,41,1694619.4,Male
79,2/22/2024,East,David White,Furniture,95,53,467576.97,Female
80,2/13/2024,South,Laura Black,Electronics,357,40,1665517.21,Male
81,4/24/2024,South,Jane Smith,Automobiles,214,39,355134.94,Female
82,2/1/2024,South,Nancy Grey,Automobiles,136,48,136954.94,Male
83,11/9/2023,South,John Doe,Electronics,268,49,808011.82,Unknown
84,1/17/2024,South,Nancy Grey,Furniture,135,46,539981.92,Unknown
85,9/11/2023,South,Andrew Blue,Electronics,480,43,1055862.42,Unknown
86,9/6/2024,North,Sarah Lee,Machinery,290,47,1128243.17,Unknown
87,9/9/2024,West,Sarah Lee,Electronics,330,26,1196476.74,Female
88,3/3/2024,West,Laura Black,Furniture,111,24,280153.22,Female
89,8/7/2024,East,Sarah Lee,Electronics,77,60,145049.38,Unknown
90,2/27/2024,East,Andrew Blue,Machinery,134,29,247242.14,Female
91,5/9/2024,North,Sarah Lee,Furniture,194,35,871983.33,Female
92,10/19/2023,North,Jane Smith,Furniture,463,37,2033550.51,Unknown
93,11/23/2023,South,Chris Green,Machinery,411,51,553982.2,Male
94,3/30/2024,South,Jane Smith,Electronics,325,59,855370.28,Female
95,4/11/2024,North,Jane Smith,Electronics,86,45,190661.29,Female
96,1/6/2024,West,Emily Davis,Machinery,481,57,1006578.38,Female
97,6/9/2024,South,Chris Green,Electronics,144,44,590810.04,Unknown
98,11/28/2023,South,Mike Brown,Furniture,350,47,642470.3,Unknown
99,10/31/2023,North,Chris Green,Automobiles,235,48,767662.29,Unknown
100,2/27/2024,West,Sarah Lee,Automobiles,180,48,315623.42,Unknown
101,12/14/2023,East,Sarah Lee,Machinery,488,35,1917125.72,Female
102,1/22/2024,West,Mike Brown,Furniture,415,28,2068662.54,Male
103,11/8/2023,South,David White,Automobiles,410,32,770386.36,Unknown
104,10/3/2023,North,Chris Green,Furniture,466,41,2248009.99,Male
105,4/2/2024,North,Laura Black,Electronics,150,57,689019.9,Male
106,7/15/2024,West,John Doe,Machinery,439,27,1707944.48,Female
107,2/10/2024,North,David White,Machinery,367,37,707814.17,Male
108,7/24/2024,West,David White,Furniture,259,34,1190340.88,Male
109,3/26/2024,East,Nancy Grey,Automobiles,130,27,235652.51,Female
110,6/2/2024,South,Sarah Lee,Furniture,121,27,550818.4,Female
111,2/4/2024,South,Mike Brown,Furniture,476,31,544319.67,Male
112,9/21/2024,North,Andrew Blue,Machinery,340,41,791261.73,Female
113,3/16/2024,South,Jane Smith,Automobiles,63,23,175102.92,Unknown
114,3/23/2024,South,Sarah Lee,Electronics,193,42,800002.94,Male
115,12/27/2023,West,Mike Brown,Machinery,440,54,1253850.11,Female
116,6/1/2024,East,John Doe,Machinery,410,51,1465830.64,Unknown
117,7/31/2024,South,Mike Brown,Electronics,316,49,430346.95,Unknown
118,1/26/2024,East,Jane Smith,Electronics,413,57,1852189.7,Unknown
119,4/11/2024,South,David White,Machinery,447,44,1423996.29,Female
120,2/14/2024,West,Nancy Grey,Furniture,263,54,540184.29,Unknown
121,11/26/2023,South,Nancy Grey,Machinery,72,38,308101.68,Unknown
122,5/19/2024,East,Laura Black,Automobiles,139,34,460394.57,Male
123,8/18/2024,East,John Doe,Furniture,357,27,1355656.45,Unknown
124,1/27/2024,West,David White,Electronics,228,31,997710.07,Female
125,7/6/2024,South,Jane Smith,Furniture,282,28,937628.47,Male
126,10/3/2023,North,Laura Black,Machinery,423,49,1820058.77,Female
127,5/23/2024,South,John Doe,Machinery,490,44,1246953.89,Female
128,10/29/2023,East,Emily Davis,Furniture,472,28,1179356.95,Male
129,7/28/2024,North,David White,Furniture,412,53,559953.45,Male
130,2/25/2024,West,Mike Brown,Furniture,481,38,1876237.49,Male
131,4/8/2024,South,Jane Smith,Automobiles,429,42,1715917.38,Female
132,9/18/2024,South,Laura Black,Automobiles,494,40,2406833.73,Male
133,1/1/2024,West,David White,Automobiles,403,42,874544.79,Female
134,10/31/2023,West,John Doe,Electronics,248,51,1221475.64,Male
135,6/14/2024,South,Chris Green,Automobiles,473,24,1740131.5,Female
136,1/14/2024,East,Andrew Blue,Furniture,73,43,307582.93,Male
137,3/26/2024,West,John Doe,Furniture,398,50,1624464.26,Female
138,5/7/2024,East,Jane Smith,Electronics,57,46,260150.92,Female
139,12/13/2023,East,Mike Brown,Machinery,282,56,471806.86,Female
140,7/11/2024,South,Jane Smith,Machinery,66,35,148843.32,Unknown
141,1/11/2024,North,Jane Smith,Furniture,97,34,413360.17,Female
142,8/26/2024,West,Emily Davis,Automobiles,77,46,303777.3,Female
143,1/21/2024,South,Laura Black,Furniture,380,30,1614311.85,Unknown
144,8/16/2024,East,Jane Smith,Furniture,127,27,213493.12,Male
145,4/8/2024,North,Emily Davis,Machinery,404,23,1769677.56,Male
146,7/21/2024,North,Mike Brown,Furniture,240,31,406447.56,Unknown
147,9/26/2023,South,Mike Brown,Electronics,61,36,107091.79,Female
148,5/31/2024,East,John Doe,Machinery,391,44,528185.82,Male
149,3/29/2024,South,Mike Brown,Electronics,180,46,341251.93,Male
150,4/15/2024,North,Nancy Grey,Furniture,173,25,590496.54,Male
151,3/25/2024,South,Jane Smith,Furniture,334,27,663390.33,Unknown
152,8/16/2024,West,John Doe,Machinery,408,55,1853082.97,Male
153,11/24/2023,West,John Doe,Automobiles,75,42,145353.49,Unknown
154,2/8/2024,East,Jane Smith,Furniture,354,33,792273.05,Male
155,9/10/2024,South,Sarah Lee,Automobiles,307,34,1031333.52,Male
156,12/4/2023,South,Laura Black,Electronics,147,41,537262.54,Female
157,11/9/2023,East,Mike Brown,Automobiles,434,27,1570449.5,Unknown
158,3/10/2024,North,Laura Black,Electronics,259,46,1103339.72,Male
159,2/24/2024,North,David White,Machinery,296,39,919944.32,Male
160,12/11/2023,South,Nancy Grey,Electronics,254,44,456518.92,Male
161,4/25/2024,South,Nancy Grey,Furniture,370,53,1252872.4,Unknown
162,2/16/2024,East,David White,Furniture,157,35,286237.02,Male
163,12/24/2023,North,Mike Brown,Electronics,438,57,692501.69,Female
164,3/11/2024,West,Laura Black,Furniture,465,29,2135925.99,Male
165,8/27/2024,East,Chris Green,Automobiles,466,60,2240788.5,Female
166,2/15/2024,East,Emily Davis,Machinery,247,53,846708.86,Male
167,9/14/2024,North,John Doe,Machinery,266,56,1231398.37,Female
168,8/20/2024,West,Laura Black,Automobiles,176,46,770860.42,Unknown
169,12/23/2023,South,Mike Brown,Machinery,385,36,1024598.92,Male
170,12/8/2023,East,Sarah Lee,Electronics,210,38,394020.73,Unknown
171,9/17/2024,South,Chris Green,Furniture,457,54,1490298.83,Male
172,10/27/2023,East,Laura Black,Furniture,302,59,800319.88,Male
173,7/14/2024,North,John Doe,Machinery,82,28,218435.84,Unknown
174,4/4/2024,North,Sarah Lee,Electronics,79,32,142242.96,Unknown
175,1/4/2024,West,Chris Green,Electronics,153,33,346123.54,Unknown
176,9/24/2024,East,Laura Black,Automobiles,269,24,1343835.95,Male
177,1/10/2024,West,Emily Davis,Electronics,387,30,1910650.74,Female
178,12/27/2023,West,Chris Green,Electronics,283,33,940187.44,Unknown
179,9/19/2023,West,John Doe,Furniture,380,46,705461.21,Unknown
180,11/14/2023,South,Laura Black,Furniture,378,27,978968.17,Female
181,12/7/2023,North,Laura Black,Electronics,244,24,308722.77,Unknown
182,11/4/2023,North,John Doe,Electronics,430,40,1715693.53,Female
183,7/5/2024,West,Mike Brown,Electronics,390,23,1178402.52,Male
184,11/2/2023,West,David White,Furniture,392,32,617008.92,Male
185,7/14/2024,West,Andrew Blue,Furniture,424,51,1702101.47,Male
186,12/8/2023,South,Nancy Grey,Machinery,162,54,779295.14,Unknown
187,8/15/2024,West,Chris Green,Machinery,337,43,1517294.83,Male
188,7/11/2024,East,Nancy Grey,Furniture,484,30,1991407.64,Female
189,5/30/2024,North,David White,Machinery,394,44,1603488.44,Female
190,10/5/2023,East,Andrew Blue,Electronics,139,59,192225.26,Male
191,1/9/2024,East,David White,Machinery,74,24,338378.58,Female
192,7/18/2024,West,David White,Automobiles,50,56,170919.51,Male
193,9/26/2023,West,Nancy Grey,Automobiles,128,34,221966.95,Male
194,4/17/2024,East,Emily Davis,Furniture,167,58,226931.03,Female
195,8/22/2024,South,Chris Green,Electronics,484,54,1008242.36,Male
196,7/11/2024,East,Mike Brown,Automobiles,233,55,872819.07,Unknown
197,11/5/2023,West,Laura Black,Machinery,202,28,763825.92,Female
198,2/6/2024,South,Emily Davis,Automobiles,175,23,568306.07,Male
199,3/30/2024,South,Nancy Grey,Furniture,420,55,1790158.89,Female
200,1/18/2024,East,Emily Davis,Electronics,270,42,361369.91,Unknown
201,12/3/2023,East,Emily Davis,Automobiles,198,47,765367.74,Unknown
202,11/10/2023,West,Mike Brown,Machinery,204,45,494132.27,Male
203,4/8/2024,North,Andrew Blue,Electronics,432,40,1376692.66,Male
204,9/26/2023,West,Sarah Lee,Electronics,109,59,446868.04,Female
205,9/4/2023,East,John Doe,Machinery,455,24,554600.23,Male
206,10/23/2023,East,Andrew Blue,Automobiles,225,42,1006696.68,Male
207,9/10/2024,West,Emily Davis,Electronics,119,30,544619.2,Female
208,10/29/2023,South,John Doe,Electronics,495,29,1659137.56,Female
209,6/24/2024,South,Sarah Lee,Electronics,359,26,1185778.59,Male
210,8/17/2024,East,John Doe,Furniture,242,50,794835.9,Female
211,6/5/2024,North,Sarah Lee,Machinery,106,54,107317.51,Male
212,6/26/2024,South,John Doe,Automobiles,52,47,136016.75,Unknown
213,1/4/2024,East,David White,Furniture,225,31,646678.03,Male
214,5/29/2024,South,Emily Davis,Machinery,253,57,1256351.62,Unknown
215,9/25/2024,East,Emily Davis,Furniture,218,29,689117.89,Male
216,1/24/2024,West,Mike Brown,Automobiles,440,50,1201672.33,Female
217,12/29/2023,North,John Doe,Machinery,296,54,806585.58,Female
218,11/14/2023,East,Chris Green,Machinery,148,51,624157.04,Female
219,12/14/2023,East,John Doe,Machinery,158,44,555200.39,Male
220,12/21/2023,West,Jane Smith,Electronics,52,60,236099.7,Female
221,3/7/2024,East,John Doe,Machinery,122,56,303251.56,Male
222,1/26/2024,North,Andrew Blue,Machinery,122,36,180936.06,Unknown
223,2/15/2024,East,Mike Brown,Furniture,213,45,819283.41,Female
224,12/24/2023,East,Andrew Blue,Machinery,406,50,654532.33,Female
225,1/22/2024,South,Mike Brown,Machinery,479,36,1153683.12,Male
226,3/19/2024,West,Nancy Grey,Furniture,377,46,873541.37,Female
227,9/20/2023,South,Sarah Lee,Machinery,81,41,319156.52,Female
228,1/24/2024,South,Laura Black,Electronics,161,29,208049.26,Male
229,9/8/2023,South,David White,Automobiles,96,32,115718.78,Unknown
230,12/11/2023,South,Mike Brown,Machinery,70,59,331286.43,Female
231,8/4/2024,South,Sarah Lee,Machinery,452,38,1410253.54,Unknown
232,8/13/2024,South,Mike Brown,Automobiles,305,40,1509761.3,Female
233,4/7/2024,North,Sarah Lee,Furniture,67,40,278852.62,Female
234,11/1/2023,North,Emily Davis,Electronics,430,32,586745.26,Male
235,4/14/2024,North,Emily Davis,Electronics,86,42,212196.83,Female
236,10/26/2023,North,Emily Davis,Electronics,351,59,910704.69,Male
237,8/11/2024,West,Sarah Lee,Furniture,137,45,553913.08,Female
238,7/16/2024,South,John Doe,Electronics,246,51,679621.53,Unknown
239,5/21/2024,East,Nancy Grey,Furniture,495,35,1036734.39,Female
240,6/1/2024,North,Mike Brown,Electronics,148,60,622700.91,Female
241,2/24/2024,North,Laura Black,Automobiles,172,31,329788.73,Female
242,5/6/2024,North,Sarah Lee,Machinery,232,26,997272.19,Male
243,1/10/2024,South,Mike Brown,Electronics,163,26,271599.24,Unknown
244,12/11/2023,East,Andrew Blue,Furniture,247,35,529083.22,Unknown
245,7/20/2024,West,Jane Smith,Machinery,257,37,519230.7,Unknown
246,4/20/2024,East,John Doe,Furniture,80,30,367204.12,Male
247,9/22/2023,South,Mike Brown,Electronics,91,45,276659.37,Female
248,10/25/2023,North,Laura Black,Furniture,387,22,1074902.99,Unknown
249,6/14/2024,East,Sarah Lee,Furniture,186,58,847340.37,Female
250,6/6/2024,South,Chris Green,Furniture,408,45,432966.7,Unknown
251,10/4/2023,West,Laura Black,Furniture,184,38,650370.62,Male
252,3/25/2024,South,Emily Davis,Electronics,150,58,150633.17,Male
253,8/1/2024,South,Chris Green,Automobiles,319,31,1246881.01,Female
254,9/11/2023,West,Sarah Lee,Automobiles,92,59,127456.11,Female
255,5/15/2024,East,Nancy Grey,Electronics,327,35,479291.73,Male
256,5/9/2024,East,Nancy Grey,Machinery,242,25,592027.01,Female
257,1/10/2024,West,Sarah Lee,Electronics,461,25,1478009.13,Male
258,10/5/2023,East,Andrew Blue,Machinery,166,25,210071.21,Female
259,5/20/2024,South,David White,Electronics,499,29,1346401.24,Male
260,1/26/2024,East,Mike Brown,Machinery,416,54,749720.18,Female
261,9/8/2024,South,Laura Black,Machinery,139,55,375255.57,Male
262,4/4/2024,South,Emily Davis,Machinery,244,44,745415.47,Male
263,12/7/2023,South,Mike Brown,Machinery,73,29,208336.1,Female
264,9/3/2023,West,Emily Davis,Machinery,424,38,1252578.05,Female
265,7/23/2024,South,Sarah Lee,Furniture,265,27,1258155.49,Male
266,9/3/2024,West,David White,Automobiles,333,52,1472736.76,Female
267,2/15/2024,North,David White,Furniture,396,38,633976.11,Male
268,9/4/2024,North,Jane Smith,Automobiles,55,53,114630.46,Unknown
269,6/12/2024,South,Nancy Grey,Furniture,156,24,324004.09,Male
270,5/12/2024,North,Mike Brown,Automobiles,219,49,1069709.45,Female
271,11/29/2023,North,Emily Davis,Machinery,193,58,369288.71,Male
272,12/15/2023,West,Nancy Grey,Machinery,173,38,422045.93,Male
273,4/25/2024,North,Emily Davis,Automobiles,233,48,673332.83,Unknown
274,7/5/2024,East,John Doe,Machinery,79,23,269663.16,Female
275,6/26/2024,East,Nancy Grey,Machinery,147,26,379293.7,Unknown
276,7/7/2024,West,Mike Brown,Furniture,73,57,124770.42,Female
277,3/1/2024,South,Chris Green,Furniture,214,37,410208.64,Male
278,9/25/2023,North,Jane Smith,Machinery,251,42,1235699.33,Female
279,3/26/2024,West,Jane Smith,Electronics,224,55,1008385.65,Female
280,9/17/2023,West,Mike Brown,Electronics,220,45,355075.6,Unknown
281,10/15/2023,West,Chris Green,Furniture,197,45,929175.4,Male
282,9/8/2024,North,Mike Brown,Machinery,219,36,797469.08,Male
283,9/9/2023,North,Nancy Grey,Electronics,65,60,280327.57,Unknown
284,2/8/2024,North,Emily Davis,Automobiles,427,30,2036346.59,Female
285,12/12/2023,South,David White,Furniture,456,39,1343639.72,Unknown
286,1/3/2024,South,John Doe,Machinery,113,35,147585.71,Female
287,6/6/2024,South,David White,Electronics,65,24,126011.64,Unknown
288,9/3/2024,South,Laura Black,Furniture,109,24,361037.75,Male
289,3/7/2024,East,Jane Smith,Electronics,296,35,950510.56,Male
290,10/30/2023,East,Mike Brown,Automobiles,302,57,629364.44,Unknown
291,6/20/2024,South,John Doe,Furniture,274,32,503262.78,Unknown
292,9/1/2024,North,John Doe,Furniture,140,44,367963.7,Unknown
293,6/26/2024,West,Andrew Blue,Electronics,269,58,974972.41,Female
294,5/3/2024,West,Andrew Blue,Furniture,395,27,1182794.73,Female
295,3/7/2024,South,Mike Brown,Machinery,182,36,404944.51,Female
296,9/15/2023,East,Emily Davis,Machinery,290,24,1372805.75,Unknown
297,7/27/2024,West,John Doe,Electronics,454,43,1164063.61,Female
298,7/15/2024,North,Sarah Lee,Automobiles,340,60,342102.96,Unknown
299,5/23/2024,West,Emily Davis,Automobiles,352,28,751923.12,Female
300,6/20/2024,East,John Doe,Furniture,95,40,191751.11,Female
301,12/13/2023,East,David White,Machinery,215,56,682561.7,Female
302,7/21/2024,East,Chris Green,Electronics,447,24,1219977.58,Female
303,12/8/2023,North,Jane Smith,Automobiles,395,32,994360.86,Male
304,7/18/2024,West,John Doe,Automobiles,465,52,2023870.93,Unknown
305,12/31/2023,South,Jane Smith,Electronics,367,31,1715422.85,Unknown
306,10/15/2023,West,Chris Green,Furniture,64,56,313843.13,Male
307,8/4/2024,East,Jane Smith,Electronics,75,55,333743.52,Female
308,9/1/2024,West,David White,Furniture,343,26,1483649.84,Male
309,1/22/2024,North,Andrew Blue,Automobiles,499,60,2115244.65,Unknown
310,11/3/2023,West,Mike Brown,Furniture,414,53,995649.59,Female
311,3/20/2024,North,Laura Black,Furniture,411,34,1964020.63,Unknown
312,3/23/2024,East,Jane Smith,Furniture,237,29,738995.84,Male
313,8/31/2024,South,Emily Davis,Machinery,231,46,837715.16,Male
314,6/27/2024,East,Laura Black,Automobiles,244,42,486155.24,Female
315,12/24/2023,East,Chris Green,Furniture,164,40,542784.7,Male
316,8/6/2024,South,Jane Smith,Automobiles,219,52,986925.43,Male
317,1/13/2024,West,Laura Black,Furniture,441,25,1328648.62,Male
318,7/25/2024,South,Sarah Lee,Electronics,436,59,1777293.79,Unknown
319,5/24/2024,East,Nancy Grey,Machinery,367,22,1506098.11,Female
320,5/18/2024,East,Chris Green,Electronics,311,53,1292715.07,Female
321,9/11/2024,West,Mike Brown,Electronics,382,57,399323.22,Male
322,8/19/2024,East,Andrew Blue,Furniture,80,31,165554.9,Female
323,8/15/2024,West,Nancy Grey,Machinery,297,51,1332202.4,Male
324,4/28/2024,South,Mike Brown,Furniture,159,41,719454.37,Unknown
325,1/6/2024,East,Jane Smith,Furniture,442,59,1875123.31,Unknown
326,11/13/2023,South,David White,Furniture,300,38,1080217.82,Unknown
327,4/12/2024,South,Jane Smith,Machinery,323,39,394360.95,Male
328,11/25/2023,West,Chris Green,Machinery,57,43,150986.38,Female
329,7/30/2024,South,Chris Green,Machinery,478,57,1363529.15,Unknown
330,1/22/2024,East,John Doe,Machinery,52,29,214479.26,Male
331,3/7/2024,South,Laura Black,Electronics,335,59,758988.61,Male
332,2/12/2024,South,Chris Green,Machinery,344,47,922509.69,Male
333,12/8/2023,South,Chris Green,Machinery,234,51,296695.24,Unknown
334,1/7/2024,South,John Doe,Electronics,208,60,254192.5,Female
335,6/29/2024,West,Jane Smith,Machinery,276,36,294447.68,Male
336,9/2/2023,North,David White,Electronics,364,27,1233077.95,Female
337,1/25/2024,West,Nancy Grey,Electronics,139,35,476234.71,Female
338,3/14/2024,West,Jane Smith,Electronics,226,49,831360.7,Male
339,8/25/2024,South,Sarah Lee,Furniture,169,45,560540.73,Unknown
340,12/9/2023,South,Emily Davis,Furniture,404,49,670098.91,Unknown
341,5/6/2024,East,Laura Black,Machinery,119,36,175633.9,Female
342,11/15/2023,West,Emily Davis,Machinery,337,37,879783.15,Unknown
343,8/12/2024,South,Nancy Grey,Machinery,147,33,625159.22,Unknown
344,7/26/2024,North,Chris Green,Furniture,203,39,447146.72,Male
345,8/6/2024,West,Sarah Lee,Electronics,336,53,1453175.43,Unknown
346,3/10/2024,East,David White,Automobiles,411,44,1872393.55,Female
347,11/7/2023,West,Sarah Lee,Automobiles,409,41,1548117.92,Unknown
348,8/5/2024,West,John Doe,Machinery,379,22,1439727.55,Female
349,4/23/2024,West,John Doe,Machinery,426,60,1134731.64,Female
350,2/13/2024,South,Nancy Grey,Electronics,83,28,397982.61,Male
351,5/18/2024,East,Sarah Lee,Automobiles,145,42,454521.51,Unknown
352,3/15/2024,North,Chris Green,Furniture,53,40,122420.4,Unknown
353,4/28/2024,North,Nancy Grey,Machinery,346,25,932455.44,Male
354,2/11/2024,North,Laura Black,Automobiles,85,51,381639.07,Male
355,7/21/2024,South,Andrew Blue,Automobiles,396,49,1901152.79,Unknown
356,11/12/2023,South,Sarah Lee,Furniture,239,60,1120685.15,Unknown
357,9/22/2024,East,Emily Davis,Machinery,78,31,79825.77,Male
358,8/14/2024,South,David White,Furniture,309,25,855485.97,Male
359,9/5/2024,West,John Doe,Electronics,430,29,1934748.49,Male
360,5/22/2024,West,David White,Machinery,482,53,1840981.46,Male
361,9/27/2024,North,Mike Brown,Automobiles,188,28,438868.09,Female
362,7/20/2024,West,Nancy Grey,Electronics,92,45,437920.25,Female
363,7/29/2024,West,Jane Smith,Machinery,111,24,122372.43,Male
364,12/5/2023,North,Laura Black,Furniture,62,46,105998.33,Unknown
365,4/27/2024,South,Sarah Lee,Electronics,457,28,1443604.68,Unknown
366,6/5/2024,East,Laura Black,Machinery,62,45,152413.51,Unknown
367,9/14/2023,East,Chris Green,Machinery,383,42,417379.75,Male
368,12/17/2023,North,Sarah Lee,Furniture,202,50,321903.74,Female
369,10/10/2023,East,Laura Black,Automobiles,415,22,1459993.78,Female
370,5/31/2024,West,Emily Davis,Furniture,141,48,401781.29,Female
371,10/31/2023,East,David White,Machinery,114,30,423782.69,Male
372,7/2/2024,South,Chris Green,Furniture,462,48,524634.4,Unknown
373,11/28/2023,East,Laura Black,Automobiles,358,25,1448751.58,Male
374,1/13/2024,West,David White,Automobiles,142,45,205134.35,Unknown
375,10/17/2023,South,Chris Green,Automobiles,139,36,342963.73,Female
376,9/15/2023,North,Nancy Grey,Automobiles,182,34,721622.72,Female
377,3/25/2024,South,Sarah Lee,Machinery,188,30,379139.24,Male
378,3/23/2024,South,Chris Green,Electronics,212,42,408261.28,Unknown
379,2/16/2024,South,Laura Black,Machinery,320,30,946390.5,Male
380,6/28/2024,South,Emily Davis,Electronics,298,55,753179.69,Unknown
381,7/30/2024,East,Mike Brown,Electronics,228,52,993848.79,Male
382,3/24/2024,South,David White,Furniture,429,26,2119400.34,Male
383,6/9/2024,North,Laura Black,Automobiles,179,39,420510.06,Female
384,3/13/2024,South,Emily Davis,Machinery,216,56,733257.87,Unknown
385,9/13/2024,East,John Doe,Furniture,445,44,2172825.26,Male
386,5/22/2024,South,Emily Davis,Machinery,245,52,612128.9,Male
387,11/12/2023,North,Sarah Lee,Automobiles,345,53,1048742.5,Male
388,5/1/2024,North,David White,Automobiles,114,56,363029.37,Female
389,12/6/2023,West,Jane Smith,Machinery,223,24,358083.71,Male
390,2/7/2024,North,Emily Davis,Machinery,411,23,1400742.94,Unknown
391,2/29/2024,East,David White,Furniture,275,50,880043.62,Male
